Data Link,Version Name,Version Description,Keywords
https://data.egov.kz/proxy/uyaly_bailanys_abonentterinin_?apiKey=yourApiKey,Число абонентов сотовой связи,"Данный набор содержит сведения об участии в ассоциациях (союзах), в том числе в объединении страховых (перестраховочных) организаций и страховых брокеров (при наличии)","Ключевые слова
Число абонентов сотовой связи"
https://data.egov.kz/proxy/tirkelgen_telefon_zhelilerinin2?apiKey=yourApiKey,Число фиксированных телефонных линий,"Данный набор содержит cведения о номере, дате выдачи лицензии АО «Компания по страхованию жизни «Государственная аннуитетная компания»","Ключевые слова
Число фиксированных телефонных линий"
https://data.egov.kz/proxy/cifrlyk_telefon_stanciyalaryna?apiKey=yourApiKey,"Число фиксированных телефонных линий, подключенных к цифровым телефонным станциям",Данный набор содержит cведения сведения о вакантных должностях АО «Компания по страхованию жизни «Государственная аннуитетная компания»,"Ключевые слова
Число фиксированных телефонных линий подключенных к цифровым телефонным станциям"
https://data.egov.kz/proxy/demografiyalyk_zhukteme_koeffi3?apiKey=yourApiKey,Коэффициенты демографической нагрузки,Данный набор содержит сведения о годовом план государственных закупок АО «Компания по страхованию жизни «Государственная аннуитетная компания»,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/tabigi_osim_shygyn_kalaauy?apiKey=yourApiKey,Естественный прирост (убыль) (городское/сельское население),"Данный набор содержит общую информацию об Обществе, включая информацию о миссии, основных задачах, целях и видах деятельности, размере собственного капитала, размере активов, чистом доходе и численности персонала АО «Компания по страхованию жизни «Государственная аннуитетная компания»","Ключевые слова
статистика население"
https://data.egov.kz/proxy/halyktyn_ortasha_zhasy5?apiKey=yourApiKey,Средний возраст населения,Данный набор содержит сведения о членах совета директоров АО «Компания по страхованию жизни «Государственная аннуитетная компания»,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/tugandar_sany_tiri2?apiKey=yourApiKey,Число родившихся (живыми),Данный набор содержит график приема граждан,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/zhalpy_bala_tuu_koefficienti?apiKey=yourApiKey,Общий коэффициент рождаемости,Сведения об осуществляемых видах деятельности АО «Компания по страхованию жизни «Государственная аннуитетная компания»,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/zhas_toptary_boiynsha_tuudyn_k?apiKey=yourApiKey,Коэффициенты рождаемости по возрастным группам,Присвоенные страховой организации рейтинговыми агентствами рейтинги,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/zhalpy_olim-zhitim_koefficient?apiKey=yourApiKey,Общий коэффициент смертности,Данный набор содержит сведения о государственном регистрационном номере и бизнес-идентификационном номере АО «Компания по страхованию жизни «Государственная аннуитетная компания»,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/1_zhaska_deiin_kaitys_bolgan_b?apiKey=yourApiKey,"Число детей, умерших в возрасте до 1 года",Сведения о созданных страховых пулах АО «Компания по страхованию жизни «Государственная аннуитетная компания»,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/naresteler_olim-zhitimi_koeffi?apiKey=yourApiKey,Коэффициент младенческой смертности,"Набор содержит правила страхования по видам страхования в добровольной форме, по которым предусматривается возможность заключения договора страхования в электронной форме, с возможностью просмотра их предыдущих редакций, внесенных в них изменений и дополнений АО «Компания по страхованию жизни «Государственная аннуитетная компания»","Ключевые слова
статистика население"
https://data.egov.kz/proxy/olim-zhitim_sebepterinin_negiz?apiKey=yourApiKey,Умершие по основным классам причин смерти,Сведения о переподготовке и повышения квалификации медицинских работников,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/olim-zhitim_sebepterinin_negiz1?apiKey=yourApiKey,Умершие в возрасте до 1 года по основным классам причин смерти,О проведении санитарно-просветительной работы по профилактике особо опасных инфекций,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/halyk_osimi?apiKey=yourApiKey,Прирост населения,Данный набор содержит о заболеваемости карантинными и особо опасными инфекциями,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/zhalpy_tabigi_osim_koefficient?apiKey=yourApiKey,Общий коэффициент естественного прироста,Данный набор содержит о заболеваемости карантинными и особо опасными инфекциями,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/barlyk_agyndar_boiynsha_migran?apiKey=yourApiKey,Прибытие мигрантов по всем потокам,Презентацию нового исторического произведения провели дочь Алькея Маргулана Маргулан Данель Алькеевна и прямой потомок Олжабай батыра Мырзакарим Адаевич Каханов и писатель Али Искабай.,"Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/barlyk_agyndar_boiynsha_migran5?apiKey=yourApiKey,Выбытие мигрантов по всем потокам,"Главными гостями вечера встречи стали директор ТОО» Нур-Газиз"", директор филиала КАНО по г. Талдыкорган Егинбаева Роза Есжановна, предприниматель из г. Текели Ысак Нургуль, предприниматель Женис Ардак Ардоловна.",
https://data.egov.kz/proxy/barlyk_agyndar_boiynsha_koshi-3?apiKey=yourApiKey,Сальдо миграции по всем потокам,"«Мәңгілік елдің мәртебелі Наурызы», заслуженная артистка РК Секен Турысбек Каримович, руководитель управления культуры , архивов и документации Алматинской области Кульбаев Марлен Капашевич ,известный композитор ,дирижер, член Союза композиторов Казахстана Алпысбаев Али Демегенович и другие почетные гости.","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/tauelsiz_memleketter_dostastyg?apiKey=yourApiKey,Миграция со странами Содружества Независимых Государств - прибытие,"В ходе литературного мероприятия состоялась встреча учащихся и педагогов средней школы имени» М. Маметовой "" с жетысускими поэтами, в частности, членом Союза писателей Республики Казахстан , заместителем филиала Союза писателей Алматинской области, соулмейтом Жетысу Жангельды Немеребай и принцессой черного стиха Аминой Адайхан.","Ключевые слова
статистика население миграция"
https://data.egov.kz/proxy/tauelsiz_memleketter_dostastyg1?apiKey=yourApiKey,Миграция со странами Содружества Независимых Государств -выбытие,"Модератором вечера была Семиреченская поэтесса, журналист Амина Адпйхан. Указом Главы государства Касым – Жомарта Токаева с 2022 года запущен проект «читающая нация"". В рамках данного проекта, очередным гостем в доме библиотеки стал известный человек, народный писатель Казахстана, народный поэт Кыргызской Республики,поэт Мухтар Шаханов. Наша жизнь состоит из множества надежд...учащиеся школы-лицея № 28 читают стихи из творчества поэта. Кроме того, был создан секретный диалог с читателями легендарного человека Мухтара Шаханова. В мероприятии приняли участие представители интеллигенции и широкого круга читателей , а также СМИ.","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/tauelsiz_memleketter_dostastyg2?apiKey=yourApiKey,Сальдо миграции со странами Содружества Независимых Государств,"Цель книжного фестиваля-популяризация пользы книги для широкого круга читателей через различные интересные мероприятия. На книжном фестивале ""без хороших книг душа устареет"" для читателей были представлены макеты книг, изданных за последние годы , выставка традиционных и электронных книг, выставочная инсталляция. Кроме того, состоялась церемония вручения «Золотой карты» постоянным лучшим читателям.","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/baska_eldermen_koshi-kon_-kelu?apiKey=yourApiKey,Миграция с другими странами -прибытие,"Конкурс среди юных читателей по роману ""много интересных лет любви"". Пропаганда произведений Азильхана Нуршаикова среди подрастающего поколения, поддержка и развитие культуры чтения, приобщение молодежи к духовному и патриотическому воспитанию.","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/baska_eldermen_koshi-kon_-_ket?apiKey=yourApiKey,Миграция с другими странами -выбытие,"Показать молодому поколению любовь к своей Родине, мужество, патриотизм, патриотизм героев, проявивших мужество в годы войны.Является вкладом в развитие патриотических чувств у подрастающего поколения","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/baska_elder_boiynsha_koshi-kon2?apiKey=yourApiKey,Сальдо миграции с другими странами,"Выиграл номинацию » Лучший библиотечный проект для детей"". Библиотекарь Илийской районной детской библиотеки Сункеш Эльмира иелендіолатовна, выступившая по региону, получила номинацию ""Лучший работник детской библиотеки районного (городского)значения"".","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/oblysaralyk_otkizuler_boiynsha?apiKey=yourApiKey,Миграция по межобластным перемещениям - прибытие,"В номинации ""Лучшее областное учреждение"" получил награду из рук заместителя акима Алматинской области Дандыбаева Арслана Момышулы. Коллектив библиотеки получил автомобиль ""Chevrolet"".","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/opendata-api-uri874?apiKey=yourApiKey,Миграция по межобластным перемещениям - выбытие,"В номинации ""Лучшее областное учреждение"" получил награду из рук заместителя акима Алматинской области Дандыбаева Арслана Момышулы. Коллектив библиотеки получил автомобиль ""Chevrolet"".","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/oblysaralyk_oryn_auystyru_boiy6?apiKey=yourApiKey,Сальдо миграции по межобластным перемещениям,"Укрепление представлений подрастающего поколения о гербе, флаге, гимне, развитие представлений о происхождении и значении символов в истории.","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/oblysishilik_otkizuler_boiynsh?apiKey=yourApiKey,Миграция по внутриобластным перемещениям - прибытие,"В жизни незрячих, испытывающих различные трудности судьбы, открываются различные возможности, связанные с течением времени. Сегодня в Алматинской областной универсальной библиотеке им. С. Сейфуллина состоялась презентация библиотеки для незрячих и маломобильных читателей.","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/oblysishilik_otkizuler_boiynsh1?apiKey=yourApiKey,Миграция по внутриобластным перемещениям - выбытие,"Участники дискуссии разделились на две стороны и высказали свои мысли и конкретные детали, связанные с данной темой. В мероприятии, прошедшем в областной библиотеке, приняли участие постоянные читатели и сотрудники библиотеки, которые раскрыли суть дискуссии.","Ключевые слова
статистика миграция население"
https://data.egov.kz/proxy/kaitys_bolgandar_sany_kalaau?apiKey=yourApiKey,Численность умерших (городское/сельское население),"В данном наборе содержится сведения о перечне нормативных правовых актов, регулирующих деятельность общества","Ключевые слова
статистика население"
https://data.egov.kz/proxy/nekeler_kalaauyl_halky?apiKey=yourApiKey,Браки (городское/сельское население),В данном наборе содержится сведения о составе членов исполнительного органа Общества,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/azhyrasular_kalaauyl_halky?apiKey=yourApiKey,Разводы (городское/сельское население),В данном наборе содержится сведения о составе членов Совета директоров Общества,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/kezen_basyndagy_halyk_sany?apiKey=yourApiKey,Численность населения на начало периода,"В данном наборе содержится сведения о контактах (телефоны, почтовый адрес) Общества","Ключевые слова
статистика население"
https://data.egov.kz/proxy/kazakstan_respublikasy_halkyny2?apiKey=yourApiKey,Численность населения Республики Казахстан по отдельным этносам,В данном наборе содержится информация о тексте Устава Общества,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/zhynysy_zhane_zhekelegen_zhas_?apiKey=yourApiKey,"Численность населения Республики Казахстан по полу и отдельным возрастным группам (0-15, 16-62(58), 63(59)+)",В данном наборе содержится сведения касательно положения о Совете директоров Общества,"Ключевые слова
статистика население"
https://data.egov.kz/proxy/kazakstan_respublikasyndagy_184?apiKey=yourApiKey,"Численность детей в возрасте до 18 лет в Республике Казахстан (по годам, гендерному составу, городское/сельское население)",В данном наборе содержится сведения касательно положения о корпоративном секретаре Общества,"Ключевые слова
статистика население"
https://data.egov.kz/api/v4/investicii_v_osnovnoi_kapital_1/v3?apiKey=yourApiKey,839. Инвестиции в основной капитал отрасли связи,"В данном наборе содержится сведения о годовом плане государственных закупок товаров, работ и услуг Общества","Ключевые слова
инвестицииосновной капиталинвестиции в основной капитал"
https://data.egov.kz/api/v4/sybailas_zhemkorlykka_karsy_mo/v10?apiKey=yourApiKey,Результаты проведения антикоррупционного мониторинга,В данном наборе содержится сведения о кодексе корпоративного управления Общества,"Ключевые слова
коррупцияантикоррупционная службаантикоррупционный мониторинг"
https://data.egov.kz/api/v4/memlekettik_organdar_men_uiymd6/v3?apiKey=yourApiKey,"Данные о результатах внешнего анализа коррупционных рисков в деятельности государственных органов и организаций, субъектов квазигосударственного сектора",В данном наборе содержится информация касательно положения об исполнительном органе Общества,"Ключевые слова
коррупцияантикоррупционная службавнешний анализминистерство"
https://data.egov.kz/api/v4/list_of_joint-stock_companies_/v23?apiKey=yourApiKey,Сведения о зарегистрированных выпусках объявленных акций,В данном наборе содержится сведения касательно положения о службе внутреннего аудита Общества,"Ключевые слова
акционерные обществаакционерлік қоғамjoint-stock companies"
https://data.egov.kz/api/v4/list_of_legal_entities_that_pe/v24?apiKey=yourApiKey,Сведения о зарегистрированных выпусках облигаций,В данном наборе содержится информация об организационной структуре Общества,"Ключевые слова
выпускиоблигаций"
https://data.egov.kz/api/v4/list_of_mutual_funds/v24?apiKey=yourApiKey,Сведения о зарегистрированных выпусках паев паевых инвестиционных фондов,В данном наборе содержится информация об исполнении плана развития Общества,"Ключевые слова
паевыефонды"
https://data.egov.kz/api/v4/reestr_vydannyh_pereoformlenn/v16?apiKey=yourApiKey,"Реестр выданных, переоформленных лицензий на осуществление деятельности на рынке ценных бумаг",В данном наборе содержится информация о ежегодной финансовой отчетности Общества,"Ключевые слова
реестрлицензийрынок ценных бумаг (РЦБ)"
https://data.egov.kz/api/v4/reestr_priostanovlennyh_libo_/v6?apiKey=yourApiKey,Реестр приостановленных либо прекративших действие (лишенных) лицензий на осуществление деятельности на рынке ценных бумаг,"Информация о проведенных экскурсиях музеями-заповедниками, находящихся в ведении МКИ РК","Ключевые слова
реестрлицензийрынок ценных бумаг (РЦБ)"
https://data.egov.kz/api/v4/brokery-dilery/v12?apiKey=yourApiKey,Брокеры и дилеры,"Информация о проведенных выставок музеями-заповедниками, находящихся в ведении МКИ РК","Ключевые слова
брокердилер"
https://data.egov.kz/api/v4/upravlyaushie_investicionnym_p1/v7?apiKey=yourApiKey,Управляющие инвестиционным портфелем,Данный набор содержить информацию о деятельности Центра,"Ключевые слова
управляющийинвестиционныйпортфель"
https://data.egov.kz/api/v4/kastodiany/v8?apiKey=yourApiKey,Кастодианы,"Данный набор содержить информацию о курсе повышения квалификации Центра менеджмента, образовательных программ и проектов","Ключевые слова
кастодиан"
https://data.egov.kz/api/v4/transfer-agenty/v4?apiKey=yourApiKey,Трансфер-агенты,ГРАФИК приема граждан юридическими (представителями) должностными лицами РГП на ПХВ «ННЦРЗ имени Салидат Каирбековой» МЗ РК,"Ключевые слова
Трансфер-агенты"
https://data.egov.kz/api/v4/organizatory_torgov/?apiKey=yourApiKey,Организаторы торгов,Информация по акрредитованным МО,"Ключевые слова
Организатор торгов"
https://data.egov.kz/api/v4/koldanysy_toktatyla_turgan_ne_1/v6?apiKey=yourApiKey,Реестр приостановленных либо прекративших действие (лишенных) лицензий,Курсы повышения квалификации,"Ключевые слова
Банки второго уровня (БВУ) лицензии лишенные приостановленные"
https://data.egov.kz/api/v4/erikti_turde_kaitaruga_bailany4/v6?apiKey=yourApiKey,Реестр прекративших действие лицензий в связи с добровольным возвратом,"Информация (актуальная на 27.06.2024г) для потенциальных получателей медицинской помощи в рамках медицинского туризма о медицинских организациях Республики Казахстан, аккредитованных по международным стандартам (JCI)","Ключевые слова
Банки второго уровня (БВУ) лицензии прекращенные добровольно"
https://data.egov.kz/api/v4/bank_operaciyalarynyn_zhekeleg13/v41?apiKey=yourApiKey,"Реестр выданных, переоформленных лицензий на проведение банковских и иных операций и осуществление деятельности на рынке ценных бумаг",Информация по аккредитованным МО,"Ключевые слова
Банки второго уровня (БВУ)лицензии"
https://data.egov.kz/api/v4/koldanysy_toktatylgan_aiyrylg2/v2?apiKey=yourApiKey,"Реестр приостановленных, либо прекративших действие (лишенных) лицензий на проведение банковских и иных операций, осуществляемых организациями, осуществлявших отдельные виды банковских операции",Информация по младенцам,"Ключевые слова
Организацииосуществляющие отдельные виды банковских операций (ОООВБО)прекращенные"
https://data.egov.kz/api/v4/kredittik_buro_kyzmetin_zhuzeg2/v1?apiKey=yourApiKey,"Реестр приостановленных либо прекративших действие (лишенных, добровольно) лицензий на осуществление деятельности кредитного бюро",Количество оперированных больных на открытом сердце,"Ключевые слова
Приостановленные либо прекратившие действие (лишенные добровольно) лицензии на осуществление деятельности кредитного бюро"
https://data.egov.kz/api/v4/ekinshi_dengeidegi_bankter1/v22?apiKey=yourApiKey,Банки второго уровня,Пролеченных иностранцев,"Ключевые слова
Общийсписокбанковвторогоуровня(БВУ)"
https://data.egov.kz/api/v4/kazakstan_respublikasynyn_rezi2/v4?apiKey=yourApiKey,Список представительств банков-нерезидентов и банков-резидентов Республики Казахстан,Операции на аппарате Гамма-нож,"Ключевые слова
Представительствабанков-нерезидентовибанков-резидентов"
https://data.egov.kz/api/v4/bank_operaciyalarynyn_zhekeleg14/v10?apiKey=yourApiKey,"Реестр выданных, переоформленных лицензий на осуществление отдельных видов банковских операций",Информация по аккредитованным МО,"Ключевые слова
Организацииосуществляющие отдельные виды банковских операций (ОООВБО)"
https://data.egov.kz/api/v4/kredittik_buronyn_kyzmetin_zhu2/v2?apiKey=yourApiKey,Реестр выданных и лишенных разрешений на право осуществления деятельности кредитного бюро,Информация по младенцам,"Ключевые слова
Реестр выданных лишенных разрешений на право осуществления деятельности кредитного бюро"
https://data.egov.kz/api/v4/erikti_turde_kaitaruga_bailany6/v3?apiKey=yourApiKey,"Реестр прекративших действие лицензий организаций, осуществлявших отдельные виды банковских операции в связи с добровольным возвратом",Количество оперированных больных на открытом сердце,"Ключевые слова
Организацииосуществляющие отдельные виды банковских операций (ОООВБО)добровольно"
https://data.egov.kz/api/v4/bank_operaciyalarynyn_zhekeleg15/v3?apiKey=yourApiKey,"Список организаций, осуществляющие отдельные виды банковских операций",Плановые госпитализации,"Ключевые слова
Общий список организацийосуществляющие отдельные виды банковских операций (ОООВБО)"
https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a/v7?apiKey=yourApiKey,"Реестр организаций, осуществляющих микрофинансовую деятельность",Оперативная информация о поступлении взносов и отчислений,"Ключевые слова
ООМФДорганизацииосуществляющие микрофинансовую деятельность"
https://data.egov.kz/api/v4/akcionerlik_kogamdardyn_dauys_1/v53?apiKey=yourApiKey,Сведения по количеству голосующих акций акционерных обществ,Оперативная информация по охвату населения системой ОСМС,"Ключевые слова
акцийакционерное обществорынок ценных бумаг"
https://data.egov.kz/api/v4/bank_konglomerattary1/v5?apiKey=yourApiKey,Банковские конгломераты,Оперативная информация по количеству обращений,"Ключевые слова
банк конгломерат"
https://data.egov.kz/api/v4/bank_holdingteri1/v4?apiKey=yourApiKey,Банковские холдинги,"Данный набор содержит перечень работ и услуг, производимые и реализуемые РГКП ""Қазақстан су жолдары"" и тарифы на них","Ключевые слова
Банк холдинг"
https://data.egov.kz/api/v4/taratylgan_kazakstan_respublik/v2?apiKey=yourApiKey,Ликвидированные Банки второго уровня Республики Казахстан,"Данный набор содержит информацию о состоянии судоходных водных путях, обслуживаемых РГКП ""Қазақстан су жолдары""","Ключевые слова
ЛиквидированныеБанки"
https://data.egov.kz/api/v4/taratylatyn_kazakstan_respubli/v6?apiKey=yourApiKey,Ликвидируемые Банки второго уровня Республики Казахстан,"Данный набор содержит перечень работ и услуг, производимые и реализуемые РГКП ""Қазақстан су жолдары"" и тарифы на них","Ключевые слова
Ликвидируемые Банки"
https://data.egov.kz/api/v4/saktandyru_kaita_saktandyru_2/v5?apiKey=yourApiKey,"Реестр приостановленных, либо прекративших действие (лишенных) лицензий на осуществление страховой (перестраховочной) деятельности",Данный набор содержит информацию о гарантированных габаритах судового хода на участках пути,"Ключевые слова
приостановленных прекративших действие"
https://data.egov.kz/api/v4/saktandyru_kaita_saktandyru_3/?apiKey=yourApiKey,"Реестр приостановленных, либо прекративших действие (лишенных) лицензий на осуществление страховой (перестраховочной) деятельности",Данный набор содержит информацию о графике открытия и закрытия навигации на участках пути,"Ключевые слова
реестр лицензий страховой сектор приостановленных"
https://data.egov.kz/api/v4/pai_investiciyalyk_korlarynyn_3/v20?apiKey=yourApiKey,Количество пайщиков паевых инвестиционных фондов (на конец периода),"Данный набор содержит перечень работ и услуг, производимые и реализуемые филиалом ""Регистр судоходства"" РГКП ""Қазақстан су жолдары"" и тарифы на них","Ключевые слова
пайпайщикрынок ценных бумаг (РЦБ)"
https://data.egov.kz/api/v4/the_registry_has_confirmed_the1/v33?apiKey=yourApiKey,Реестр уведомлений об утверждении продуктов микрофинансовыми организациями,Данный набор содержит информацию о членах Совета директоров АО «НК «Продкорпорация»,"Ключевые слова
Уведомленияреестр"
https://data.egov.kz/api/v4/the_register_of_notifications_2/v54?apiKey=yourApiKey,Реестр уведомлений об утверждении финансовых продуктов банками второго уровня,Данный набор содержит информацию о членах Правления АО «НК «Продкорпорация»,"Ключевые слова
Уведомленияреестр"
https://data.egov.kz/api/v4/register_sollection_agencies_o1/v99?apiKey=yourApiKey,Реестр коллекторских агентств Агентства Республики Казахстан по регулированию и развитию финансового рынка,Данный набор содержит информацию об организационной структуре АО «НК «Продкорпорация»,"Ключевые слова
Коллекторские агентства"
https://data.egov.kz/api/v4/opendata-api-uri487/v128?apiKey=yourApiKey,"Реестр выданных, переоформленных лицензий на осуществление микрофинансовой деятельности",Данный набор содержит информацию о дочерних организациях АО «НК «Продкорпорация»,"Ключевые слова
Организацииосуществлявшие микрофинансовую деятельностьлицензии"
https://data.egov.kz/api/v4/opendata-api-uri521/v82?apiKey=yourApiKey,"Реестр прекративших действие лицензий в связи с добровольным возвратом организацией, осуществлявшей микрофинансовую деятельность","Данный набор содержит информацию о списке НПА, регулирующих деятельность АО «НК «Продкорпорация»","Ключевые слова
Организацииосуществлявщие микрофинансовую деятельностьлицензии"
https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v54?apiKey=yourApiKey,"Реестр приостановленных, прекративших действие в связи с лишением лицензии на осуществление микрофинансовой деятельности",Данный набор содержит информацию об основных функциях АО «НК «Продкорпорация»,"Ключевые слова
Организацииосуществлявщие микрофинансовую деятельностьлицензии"
https://data.egov.kz/api/v4/saktandyru_uiymdarynyn_karzhy_/v27?apiKey=yourApiKey,Реестр уведомлений об утверждении финансовых продуктов страховыми организациями,Данный набор содержит информацию о количестве профинансированных заявок сельхозтоваропроизводителей и сумме финансирования со стороны АО «НК «Продкорпорация»,"Ключевые слова
Уведомленияреестр"
https://data.egov.kz/api/v4/bank_operaciyalarynyn_zheke_tu/v27?apiKey=yourApiKey,Реестр уведомлений об утверждении финансовых продуктов организаций осуществляющие отдельные виды банковских операции,"Данный набор содержит информацию об объеме реализации зерна АО «НК «Продкорпорация» мукомольным предприятиям, птицеводческим и животноводческим хозяйствам","Ключевые слова
Уведомленияреестр"
https://data.egov.kz/api/v4/bagaly_kagazdar_rynogynyn_baga/v28?apiKey=yourApiKey,Реестр уведомлений об утверждении финансовых услуг предоставляемые профессиональными участниками рынка ценных бумаг,Данный набор содержит информацию о списке и контактах представительств АО «НК «Продкорпорация»,"Ключевые слова
Уведомленияреестр"
https://data.egov.kz/api/v4/opendata-api-uri606/?apiKey=yourApiKey,594. Ликвидируемые страховые (перестраховочные) организаций,Данный набор содержит информацию по производственным мощностям ТОО «Астық қоймалары»,"Ключевые слова
Ликвидируемые страховые (перестраховочные) организаций Таратылатын сақтандыру (қайта сақтандыру) ұйымдары"
https://data.egov.kz/api/v4/strahovye_holdingi/v1?apiKey=yourApiKey,591. Страховые холдинги,Данный набор содержит информацию по производственным мощностям ТОО «Астық қоймалары»,"Ключевые слова
сақтандыру холдингтерістраховые холдинги"
https://data.egov.kz/api/v4/opendata-api-uri711/v1?apiKey=yourApiKey,Общий реестр финансовых продуктов,Результаты мониторинга,"Ключевые слова
Общий реестр финансовых продуктов"
https://data.egov.kz/api/v4/iskluchennye_strahovye_agenty1/v1?apiKey=yourApiKey,586. Исключенные страховые агенты,Фактические значения,"Ключевые слова
Исключенные страховые агенты"
https://data.egov.kz/api/v4/595_likvidirovannye_strahovye8/v1?apiKey=yourApiKey,595. Ликвидированные страховые (перестраховочные) организаций,Активная температура,"Ключевые слова
Ликвидированные страховые (перестраховочные) организаций"
https://data.egov.kz/api/v4/583_karzhy_uiymdarynyn_iri_ka1/v1?apiKey=yourApiKey,583. Крупные участники финансов,,"Ключевые слова
Қаржы ұйымдарының ірі қатысушыларыКрупные участники финансовых организаций"
https://data.egov.kz/api/v4/opendata-api-uri679/v3?apiKey=yourApiKey,304. Перечень государственных больниц в разрезе регионов,Набор содержит перечень государственных больниц в разрезе регионов,"Ключевые слова
аурухана тізімісписок больниц"
https://data.egov.kz/api/v4/opendata-api-uri679/v3?apiKey=yourApiKey,374. Перечень государственных домов престарелых (дома-интернаты для престарелых и инвалидов общего типа) в разрезе регионов,Данный набор содержит перечень государственных домов престарелых (дома-интернаты для престарелых и инвалидов общего типа) в разрезе регионов,"Ключевые слова
дом престарелыхқарттар үйідома-интернаты для престарелых и инвалидов общего типақарттар мен мүгедектерге арналған жалпы үлгідегі интернат-үйлер"
